,n_neighbours,cosine,hamming,jaccard
0,5,0.38761061946902653,0.021238938053097345,0.4300884955752212
1,10,0.35398230088495575,0.007079646017699115,0.3380530973451327
2,25,0.27079646017699116,0.0017699115044247787,0.26548672566371684
3,50,0.2884955752212389,0.0017699115044247787,0.2849557522123894
4,75,0.3292035398230089,0.0017699115044247787,0.3415929203539823
5,100,0.3734513274336283,0.0017699115044247787,0.34513274336283184
6,200,0.4336283185840708,0.0017699115044247787,0.45132743362831856
7,500,0.5150442477876106,0.010619469026548672,0.45663716814159294
8,700,0.49734513274336284,0.005309734513274336,0.4424778761061947
